Ano;mês;Detalhe 1;Detalhe 2;Chave;chave 2;Chamadas recebidas;Chamadas atendidas;% Abandonos;% Conversão Agendamentos;Agendamento Identificado;Oferta de Consultas;Oferta de Consultas 1.ª Vez;Consultas Agendadas;Encaixes (Consultas);Faltas;Consultas Atendidas;Consultas 1.ª Vez Atendidas;Planos Terapeuticos Cirurgicos;Planos Terapeuticos Clinicos;Planos Terapeuticos Total;Exame Solicitado 1;Exame Solicitado 2;Oferta de Exames;Exames Agendados;Faltas (Exames);Exames Realizados;Cirurgias Realizadas;Cirurgias Realizadas (Horas);Capacidade total Centro Cirurgico; Oferta dos CCs (Horas);Cirurgias Canceladas;Ocupação Centro Cirurgico;Leitos Operacionais;Leitos Operacionais x (Mês);Internações (Total);Internações Eletivas;Internações Emergência;Pacientes Dia;Rampas; SLA Emergencia; Contador Emergencia; Qtde AltasMéd ; AltasMéd até 12h ;Soma de Assert. AltaMéd (2); Previsão AltaMéd (2);Solicitações QT Internados;Internações QT;Oferta QT;Realizado QT;Ciclos RXT Programados;Ciclos RXT Iniciados;Oferta RT;NPS;Soma de Atend;Soma de Tempo 30;Soma de Tempo 60;Exame Solicitado Acumulado;Exames Realizados Acumulado;Plano Terapeutico QT Acumulado;Internação QT acumulado;Planos Terapeuticos Cirurgicos Acumulado;Cirurgias Realizadas Acumulado;;
2020;jan-20;Antonio Prudente;Dermatoscopia;202043831Antonio PrudenteDermatoscopia;Antonio PrudenteDermatoscopia;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;
2020;jan-20;Antonio Prudente;Ecocardiograma;202043831Antonio PrudenteEcocardiograma;Antonio PrudenteEcocardiograma;;;;;;;;;;;;;;;;;271;402;349;39;310;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;271;310;;;;;;
2020;jan-20;Antonio Prudente;Endoscopia Alta;202043831Antonio PrudenteEndoscopia Alta;Antonio PrudenteEndoscopia Alta;;;;;;;;;;;;;;;;;441;865;557;441;116;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;441;116;;;;;;
2020;jan-20;Antonio Prudente;Gastroenterologia;202043831Antonio PrudenteGastroenterologia;Antonio PrudenteGastroenterologia;;;;;;386;125;378;17;82;297;12;;;;221;;0;0;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;260;37;2;0;0;;;;;;
2020;jan-20;Antonio Prudente;Ginecologia Geral;202043831Antonio PrudenteGinecologia Geral;Antonio PrudenteGinecologia Geral;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;
2020;jan-20;Antonio Prudente;Ginecologia Oncológica;202043831Antonio PrudenteGinecologia Oncológica;Antonio PrudenteGinecologia Oncológica;;;;;;253;19;231;73;33;196;10;109;3;112;158;;0;0;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;122;26;8;0;0;;;154;39;;
2020;jan-20;Antonio Prudente;Mamografia;202043831Antonio PrudenteMamografia;Antonio PrudenteMamografia;;;;;;;;;;;;;;;;;91;113;113;15;98;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;91;98;;;;;;
2020;jan-20;Antonio Prudente;Mamografia Conciliada;202043831Antonio PrudenteMamografia Conciliada;Antonio PrudenteMamografia Conciliada;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;
2020;jan-20;Antonio Prudente;Mamografia Específicas;202043831Antonio PrudenteMamografia Específicas;Antonio PrudenteMamografia Específicas;;;;;;;;;;;;;;;;;;198;28;3;25;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;25;;;;;;
2020;jan-20;Antonio Prudente;Mastologia;202043831Antonio PrudenteMastologia;Antonio PrudenteMastologia;;;;;;;;;;;;;108;0;108;16;;0;0;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;127;28;;
2020;jan-20;Antonio Prudente;Medicina Nuclear;202043831Antonio PrudenteMedicina Nuclear;Antonio PrudenteMedicina Nuclear;;;;;;88;;;0;20;24;;;;;;378;1538;652;61;591;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;378;591;;;;;;
2020;jan-20;Antonio Prudente;Neurocirurgia;202043831Antonio PrudenteNeurocirurgia;Antonio PrudenteNeurocirurgia;;;;;;393;57;308;41;45;261;19;32;0;32;236;;0;0;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;152;40;12;0;0;;;39;14;;
2020;jan-20;Antonio Prudente;NPS;202043831Antonio PrudenteNPS;Antonio PrudenteNPS;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;86,0%;;;;0;0;;;;;;
2020;jan-20;Antonio Prudente;Oftamologia;202043831Antonio PrudenteOftamologia;Antonio PrudenteOftamologia;;;;;;277;30;233;8;38;194;8;18;0;18;82;;0;0;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;177;17;3;0;0;;;18;5;;
2020;jan-20;Antonio Prudente;Oncologia Clínica;202043831Antonio PrudenteOncologia Clínica;Antonio PrudenteOncologia Clínica;;;;;;4243;442;3498;374;378;3101;85;23;96;119;1726;;0;0;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;1940;337;61;0;0;;;32;0;;
2020;jan-20;Antonio Prudente;Oncologia Cutânea;202043831Antonio PrudenteOncologia Cutânea;Antonio PrudenteOncologia Cutânea;;;;;;;;;;;;;86;2;88;57;;0;0;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;467;179;;
2020;jan-20;Antonio Prudente;Ortopedia;202043831Antonio PrudenteOrtopedia;Antonio PrudenteOrtopedia;;;;;;584;149;472;14;70;402;32;23;0;23;265;;0;0;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;378;41;4;0;0;;;26;9;;
2020;jan-20;Antonio Prudente;Otorrinologia;202043831Antonio PrudenteOtorrinologia;Antonio PrudenteOtorrinologia;;;;;;393;170;355;12;40;314;9;15;0;15;119;;0;0;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;276;24;6;0;0;;;15;3;;
2020;jan-20;Antonio Prudente;PET;202043831Antonio PrudentePET;Antonio PrudentePET;;;;;;;;;;;;;;;;;284;564;516;44;472;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;284;472;;;;;;
2020;jan-20;Antonio Prudente;Pneumologia / Tisiologia;202043831Antonio PrudentePneumologia / Tisiologia;Antonio PrudentePneumologia / Tisiologia;;;;;;301;47;294;51;60;232;8;1;0;1;94;;0;0;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;186;9;2;0;0;;;1;0;;
2020;jan-20;Antonio Prudente;Raio Especializado;202043831Antonio PrudenteRaio Especializado;Antonio PrudenteRaio Especializado;;;;;;;;;;;;;;;;;;151;44;6;38;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;38;;;;;;
2020;jan-20;Antonio Prudente;Raio X;202043831Antonio PrudenteRaio X;Antonio PrudenteRaio X;;;;;;;;;;;;;;;;;1192;1240;880;119;761;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;1192;761;;;;;;
2020;jan-20;Antonio Prudente;Ressonância;202043831Antonio PrudenteRessonância;Antonio PrudenteRessonância;;;;;;;;;;;;;;;;;1848;1891;1727;330;1397;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;1848;1397;;;;;;
2020;jan-20;Antonio Prudente;Tomo com Anestesia;202043831Antonio PrudenteTomo com Anestesia;Antonio PrudenteTomo com Anestesia;;;;;;;;;;;;;;;;;;34;40;15;25;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;25;;;;;;
2020;jan-20;Antonio Prudente;Tomografia;202043831Antonio PrudenteTomografia;Antonio PrudenteTomografia;;;;;;;;;;;;;;;;;3044;1005;931;110;821;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;3044;821;;;;;;
2020;jan-20;Antonio Prudente;Tomografia / Biópsia;202043831Antonio PrudenteTomografia / Biópsia;Antonio PrudenteTomografia / Biópsia;;;;;;;;;;;;;;;;;70;127;87;15;72;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;70;72;;;;;;
2020;jan-20;Antonio Prudente;Tumores Colorretais;202043831Antonio PrudenteTumores Colorretais;Antonio PrudenteTumores Colorretais;;;;;;768;213;561;38;74;483;34;71;0;71;73;;0;0;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;415;30;6;0;0;;;81;31;;202043831Antonio PrudenteUI
2020;jan-20;Antonio Prudente;UI;202043831Antonio PrudenteUI;Antonio PrudenteUI;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;0;;232;7192;1356;799;557;6322;21;61;506;994;470;246;686;;;;;;;;;;;;0;0;;;;;;
2020;jan-20;Antonio Prudente;Ultrassom;202043831Antonio PrudenteUltrassom;Antonio PrudenteUltrassom;;;;;;;;;;;;;;;;;2673;3452;2721;519;2202;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;2673;2202;;;;;;
2020;jan-20;Antonio Prudente;Ultrassom / Biópsia;202043831Antonio PrudenteUltrassom / Biópsia;Antonio PrudenteUltrassom / Biópsia;;;;;;;;;;;;;;;;;58;768;341;45;296;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;58;296;;;;;;
2020;jan-20;Antonio Prudente;Urologia;202043831Antonio PrudenteUrologia;Antonio PrudenteUrologia;;;;;;1757;313;1544;145;148;1387;115;250;2;252;1488;;0;0;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;1246;339;164;0;0;;;299;116;;
2020;jan-20;Antonio Prudente;UTI;202043831Antonio PrudenteUTI;Antonio PrudenteUTI;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;0;;34;1054;66;0;66;711;;12;53;14;8;2;12;;;;;;;;;;;;0;0;;;;;;
2020;jan-20;Castro Alves Assistencial;Cirurgia Abdominal;202043831Castro Alves AssistencialCirurgia Abdominal;Castro Alves AssistencialCirurgia Abdominal;;;;;;86;8;82;34;0;68;2;;;;;;0;0;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;41;1;0;0;0;;;;;;
2020;jan-20;Castro Alves Assistencial;Cirurgia de Cabeça e Pescoço;202043831Castro Alves AssistencialCirurgia de Cabeça e Pescoço;Castro Alves AssistencialCirurgia de Cabeça e Pescoço;;;;;;263;8;250;16;0;225;2;;;;;;0;0;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;160;14;4;0;0;;;;;;
2020;jan-20;Castro Alves Assistencial;Cirurgia plástica e reparadora;202043831Castro Alves AssistencialCirurgia plástica e reparadora;Castro Alves AssistencialCirurgia plástica e reparadora;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;
2020;jan-20;Castro Alves Assistencial;Cirurgia Torácica;202043831Castro Alves AssistencialCirurgia Torácica;Castro Alves AssistencialCirurgia Torácica;;;;;;81;9;73;11;0;66;1;;;;;;0;0;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;61;6;0;0;0;;;;;;
2020;jan-20;Castro Alves Assistencial;Cirurgia Vascular;202043831Castro Alves AssistencialCirurgia Vascular;Castro Alves AssistencialCirurgia Vascular;;;;;;77;2;67;1;0;51;;;;;;;0;0;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;18;1;0;0;0;;;;;;
2020;jan-20;Castro Alves Assistencial;Dermatologia;202043831Castro Alves AssistencialDermatologia;Castro Alves AssistencialDermatologia;;;;;;63;1;56;2;0;47;;;;;;;0;0;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;36;5;0;0;0;;;;;;
2020;jan-20;Castro Alves Assistencial;Dermatoscopia;202043831Castro Alves AssistencialDermatoscopia;Castro Alves AssistencialDermatoscopia;;;;;;;;;;;;;;;;;;5;5;1;4;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;4;;;;;;
2020;jan-20;Castro Alves Assistencial;Gastroenterologia;202043831Castro Alves AssistencialGastroenterologia;Castro Alves AssistencialGastroenterologia;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;
2020;jan-20;Castro Alves Assistencial;Ginecologia Geral;202043831Castro Alves AssistencialGinecologia Geral;Castro Alves AssistencialGinecologia Geral;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;
2020;jan-20;Castro Alves Assistencial;Ginecologia Oncológica;202043831Castro Alves AssistencialGinecologia Oncológica;Castro Alves AssistencialGinecologia Oncológica;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;
2020;jan-20;Castro Alves Assistencial;Mastologia;202043831Castro Alves AssistencialMastologia;Castro Alves AssistencialMastologia;;;;;;275;13;258;25;0;234;;;;;;;0;0;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;186;38;16;0;0;;;;;;
2020;jan-20;Castro Alves Assistencial;Neurocirurgia;202043831Castro Alves AssistencialNeurocirurgia;Castro Alves AssistencialNeurocirurgia;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;
2020;jan-20;Castro Alves Assistencial;NPS;202043831Castro Alves AssistencialNPS;Castro Alves AssistencialNPS;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;
2020;jan-20;Castro Alves Assistencial;Oftamologia;202043831Castro Alves AssistencialOftamologia;Castro Alves AssistencialOftamologia;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;
2020;jan-20;Castro Alves Assistencial;Oncologia Clínica;202043831Castro Alves AssistencialOncologia Clínica;Castro Alves AssistencialOncologia Clínica;;;;;;1157;14;980;244;0;860;3;;;;;;0;0;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;497;192;65;0;0;;;;;;
2020;jan-20;Castro Alves Assistencial;Oncologia Cutânea;202043831Castro Alves AssistencialOncologia Cutânea;Castro Alves AssistencialOncologia Cutânea;;;;;;68;6;65;9;0;57;3;;;;;;0;0;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;45;9;2;0;0;;;;;;
2020;jan-20;Castro Alves Assistencial;Ortopedia;202043831Castro Alves AssistencialOrtopedia;Castro Alves AssistencialOrtopedia;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;
2020;jan-20;Castro Alves Assistencial;Otorrinologia;202043831Castro Alves AssistencialOtorrinologia;Castro Alves AssistencialOtorrinologia;;;;;;51;3;45;8;0;33;;;;;;;0;0;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;23;1;0;0;0;;;;;;
2020;jan-20;Castro Alves Assistencial;Pneumologia / Tisiologia;202043831Castro Alves AssistencialPneumologia / Tisiologia;Castro Alves AssistencialPneumologia / Tisiologia;;;;;;41;7;33;1;0;24;;;;;;;0;0;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;20;0;0;0;0;;;;;;
2020;jan-20;Castro Alves Assistencial;Tumores Colorretais;202043831Castro Alves AssistencialTumores Colorretais;Castro Alves AssistencialTumores Colorretais;;;;;;201;7;192;17;0;160;2;;;;;;0;0;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;147;20;3;0;0;;;;;;
2020;jan-20;Castro Alves Assistencial;Urologia;202043831Castro Alves AssistencialUrologia;Castro Alves AssistencialUrologia;;;;;;411;26;385;47;0;330;2;;;;;;0;0;0;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;280;39;15;0;0;;;;;;
2020;jan-20; Central Relacionamento; Central de Rel. (Geral);202043831 Central Relacionamento Central de Rel. (Geral); Central Relacionamento Central de Rel. (Geral);73.039;66.366;9,1%;90,8%;52.433;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;
2020;jan-20; Central Relacionamento; Central de Rel. (Imagem);202043831 Central Relacionamento Central de Rel. (Imagem); Central Relacionamento Central de Rel. (Imagem);17.100;15.100;11,7%;99,9%;13.122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;
2020;jan-20; Central Relacionamento; Central de Rel. (Primeira consulta);202043831 Central Relacionamento Central de Rel. (Primeira consulta); Central Relacionamento Central de Rel. (Primeira consulta);7.578;7.486;1,2%;84,2%;11.483;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;
2020;jan-20; Central Relacionamento; Central de Rel. (Retorno);202043831 Central Relacionamento Central de Rel. (Retorno); Central Relacionamento Central de Rel. (Retorno);39.240;36.627;6,7%;77,7%;19.506;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;
2020;jan-20;Centro Cirúrgico Ambulatorial-A.Prudente;Cirurgia Abdominal;202043831Centro Cirúrgico Ambulatorial-A.PrudenteCirurgia Abdominal;Centro Cirúrgico Ambulatorial-A.PrudenteCirurgia Abdominal;;;;;;;;;;;;;;;;;;;;;;2;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;
2020;jan-20;Centro Cirúrgico Ambulatorial-A.Prudente;Cirurgia de Cabeça e Pescoço;202043831Centro Cirúrgico Ambulatorial-A.PrudenteCirurgia de Cabeça e Pescoço;Centro Cirúrgico Ambulatorial-A.PrudenteCirurgia de Cabeça e Pescoço;;;;;;;;;;;;;;;;;;;;;;11;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;
2020;jan-20;Centro Cirúrgico Ambulatorial-A.Prudente;Cirurgia plástica e reparadora;202043831Centro Cirúrgico Ambulatorial-A.PrudenteCirurgia plástica e reparadora;Centro Cirúrgico Ambulatorial-A.PrudenteCirurgia plástica e reparadora;;;;;;;;;;;;;;;;;;;;;;12;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;
2020;jan-20;Centro Cirúrgico Ambulatorial-A.Prudente;Cirurgia Torácica;202043831Centro Cirúrgico Ambulatorial-A.PrudenteCirurgia Torácica;Centro Cirúrgico Ambulatorial-A.PrudenteCirurgia Torácica;;;;;;;;;;;;;;;;;;;;;;5;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;
2020;jan-20;Centro Cirúrgico Ambulatorial-A.Prudente;Cirurgia Vascular;202043831Centro Cirúrgico Ambulatorial-A.PrudenteCirurgia Vascular;Centro Cirúrgico Ambulatorial-A.PrudenteCirurgia Vascular;;;;;;;;;;;;;;;;;;;;;;1;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;
2020;jan-20;Centro Cirúrgico Ambulatorial-A.Prudente;Dermatologia;202043831Centro Cirúrgico Ambulatorial-A.PrudenteDermatologia;Centro Cirúrgico Ambulatorial-A.PrudenteDermatologia;;;;;;;;;;;;;;;;;;;;;;4;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;
2020;jan-20;Centro Cirúrgico Ambulatorial-A.Prudente;Ginecologia Oncológica;202043831Centro Cirúrgico Ambulatorial-A.PrudenteGinecologia Oncológica;Centro Cirúrgico Ambulatorial-A.PrudenteGinecologia Oncológica;;;;;;;;;;;;;;;;;;;;;;3;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;
2020;jan-20;Centro Cirúrgico Ambulatorial-A.Prudente;Mastologia;202043831Centro Cirúrgico Ambulatorial-A.PrudenteMastologia;Centro Cirúrgico Ambulatorial-A.PrudenteMastologia;;;;;;;;;;;;;;;;;;;;;;1;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;
2020;jan-20;Centro Cirúrgico Ambulatorial-A.Prudente;Neurocirurgia;202043831Centro Cirúrgico Ambulatorial-A.PrudenteNeurocirurgia;Centro Cirúrgico Ambulatorial-A.PrudenteNeurocirurgia;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;
2020;jan-20;Centro Cirúrgico Ambulatorial-A.Prudente;Oftamologia;202043831Centro Cirúrgico Ambulatorial-A.PrudenteOftamologia;Centro Cirúrgico Ambulatorial-A.PrudenteOftamologia;;;;;;;;;;;;;;;;;;;;;;8;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;
2020;jan-20;Centro Cirúrgico Ambulatorial-A.Prudente;Oncologia Clínica;202043831Centro Cirúrgico Ambulatorial-A.PrudenteOncologia Clínica;Centro Cirúrgico Ambulatorial-A.PrudenteOncologia Clínica;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;
2020;jan-20;Centro Cirúrgico Ambulatorial-A.Prudente;Oncologia Cutânea;202043831Centro Cirúrgico Ambulatorial-A.PrudenteOncologia Cutânea;Centro Cirúrgico Ambulatorial-A.PrudenteOncologia Cutânea;;;;;;;;;;;;;;;;;;;;;;29;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;
2020;jan-20;Centro Cirúrgico Ambulatorial-A.Prudente;Ortopedia;202043831Centro Cirúrgico Ambulatorial-A.PrudenteOrtopedia;Centro Cirúrgico Ambulatorial-A.PrudenteOrtopedia;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;
2020;jan-20;Centro Cirúrgico Ambulatorial-A.Prudente;Otorrinologia;202043831Centro Cirúrgico Ambulatorial-A.PrudenteOtorrinologia;Centro Cirúrgico Ambulatorial-A.PrudenteOtorrinologia;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;
2020;jan-20;Centro Cirúrgico Ambulatorial-A.Prudente;Tumores Colorretais;202043831Centro Cirúrgico Ambulatorial-A.PrudenteTumores Colorretais;Centro Cirúrgico Ambulatorial-A.PrudenteTumores Colorretais;;;;;;;;;;;;;;;;;;;;;;6;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;
2020;jan-20;Centro Cirúrgico Ambulatorial-A.Prudente;Urologia;202043831Centro Cirúrgico Ambulatorial-A.PrudenteUrologia;Centro Cirúrgico Ambulatorial-A.PrudenteUrologia;;;;;;;;;;;;;;;;;;;;;;35;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;
2020;jan-20;Centro Cirúrgico Ambulatorial-Pires da Mota;Cirurgia Abdominal;202043831Centro Cirúrgico Ambulatorial-Pires da MotaCirurgia Abdominal;Centro Cirúrgico Ambulatorial-Pires da MotaCirurgia Abdominal;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;
2020;jan-20;Centro Cirúrgico Ambulatorial-Pires da Mota;Cirurgia de Cabeça e Pescoço;202043831Centro Cirúrgico Ambulatorial-Pires da MotaCirurgia de Cabeça e Pescoço;Centro Cirúrgico Ambulatorial-Pires da MotaCirurgia de Cabeça e Pescoço;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;
